seq,orderid,orderdate,shipdate,customerid,productid,quantity,discount
1,CA-2016-1521561,2016-11-08 00:25:00,2016-11-11 00:25:00,CG-12520,FUR-BO-10001798,2,0.00
2,CA-2016-1521562,2016-11-08 01:29:12,2016-11-11 01:29:12,CG-12520,FUR-CH-10000454,3,0.00
3,CA-2016-1386881,2016-06-12 10:11:39,2016-06-16 10:11:39,DV-13045,OFF-LA-10000240,2,0.00
4,US-2015-1089661,2015-10-11 06:33:29,2015-10-18 06:33:29,SO-20335,FUR-TA-10000577,5,0.45
5,US-2015-1089662,2015-10-11 07:58:33,2015-10-18 07:58:33,SO-20335,OFF-ST-10000760,2,0.20
6,CA-2014-1158121,2014-06-09 05:49:06,2014-06-14 05:49:06,BH-11710,FUR-FU-10001487,7,0.00
7,CA-2014-1158122,2014-06-09 06:32:03,2014-06-14 06:32:03,BH-11710,OFF-AR-10002833,4,0.00
8,CA-2014-1158123,2014-06-09 07:10:49,2014-06-14 07:10:49,BH-11710,TEC-PH-10002275,6,0.20
9,CA-2014-1158124,2014-06-09 08:54:39,2014-06-14 08:54:39,BH-11710,OFF-BI-10003910,3,0.20
10,CA-2014-1158125,2014-06-09 09:46:10,2014-06-14 09:46:10,BH-11710,OFF-AP-10002892,5,0.00
11,CA-2014-1158126,2014-06-09 10:19:43,2014-06-14 10:19:43,BH-11710,FUR-TA-10001539,9,0.20
12,CA-2014-1158127,2014-06-09 11:40:03,2014-06-14 11:40:03,BH-11710,TEC-PH-10002033,4,0.20
13,CA-2017-1144121,2017-04-15 09:34:06,2017-04-20 09:34:06,AA-10480,OFF-PA-10002365,3,0.20
14,CA-2016-1613891,2016-12-05 06:19:58,2016-12-10 06:19:58,IM-15070,OFF-BI-10003656,3,0.20
15,US-2015-1189831,2015-11-22 05:43:50,2015-11-26 05:43:50,HP-14815,OFF-AP-10002311,5,0.80
16,US-2015-1189832,2015-11-22 06:16:17,2015-11-26 06:16:17,HP-14815,OFF-BI-10000756,3,0.80
17,CA-2014-1058931,2014-11-11 06:01:16,2014-11-18 06:01:16,PK-19075,OFF-ST-10004186,6,0.00
18,CA-2014-1671641,2014-05-13 14:19:20,2014-05-15 14:19:20,AG-10270,OFF-ST-10000107,2,0.00
19,CA-2014-1433361,2014-08-27 03:50:27,2014-09-01 03:50:27,ZD-21925,OFF-AR-10003056,2,0.00
20,CA-2014-1433362,2014-08-27 04:38:21,2014-09-01 04:38:21,ZD-21925,TEC-PH-10001949,3,0.20
21,CA-2014-1433363,2014-08-27 05:05:44,2014-09-01 05:05:44,ZD-21925,OFF-BI-10002215,4,0.20
22,CA-2016-1373301,2016-12-09 00:26:39,2016-12-13 00:26:39,KB-16585,OFF-AR-10000246,7,0.00
23,CA-2016-1373302,2016-12-09 01:30:43,2016-12-13 01:30:43,KB-16585,OFF-AP-10001492,7,0.00
24,US-2017-1569091,2017-07-16 06:23:21,2017-07-18 06:23:21,SF-20065,FUR-CH-10002774,2,0.30
25,CA-2015-1063201,2015-09-25 05:27:06,2015-09-30 05:27:06,EB-13870,FUR-TA-10000577,3,0.00
26,CA-2016-1217551,2016-01-16 01:18:37,2016-01-20 01:18:37,EH-13945,OFF-BI-10001634,2,0.20
27,CA-2016-1217552,2016-01-16 02:21:55,2016-01-20 02:21:55,EH-13945,TEC-AC-10003027,3,0.00
28,US-2015-1506301,2015-09-17 03:44:58,2015-09-21 03:44:58,TB-21520,FUR-BO-10004834,7,0.50
29,US-2015-1506302,2015-09-17 04:15:16,2015-09-21 04:15:16,TB-21520,OFF-BI-10000474,2,0.70
30,US-2015-1506303,2015-09-17 05:33:38,2015-09-21 05:33:38,TB-21520,FUR-FU-10004848,3,0.20
31,US-2015-1506304,2015-09-17 06:31:16,2015-09-21 06:31:16,TB-21520,OFF-EN-10001509,2,0.20
32,US-2015-1506305,2015-09-17 07:43:17,2015-09-21 07:43:17,TB-21520,OFF-AR-10004042,6,0.20
33,US-2015-1506306,2015-09-17 08:22:52,2015-09-21 08:22:52,TB-21520,OFF-BI-10001525,6,0.70
34,US-2015-1506307,2015-09-17 09:03:00,2015-09-21 09:03:00,TB-21520,OFF-AR-10001683,2,0.20
35,CA-2017-1077271,2017-10-19 07:38:13,2017-10-23 07:38:13,MA-17560,OFF-PA-10000249,3,0.20
36,CA-2016-1175901,2016-12-08 10:39:33,2016-12-10 10:39:33,GH-14485,TEC-PH-10004977,7,0.20
